Date,Open,High,Low,Close,Adj Close,Volume
2020-10-01,368.980011,370.709991,364.820007,368.600006,346.755310,1601600
2020-10-02,360.000000,364.920013,356.149994,356.829987,335.682861,1710000
2020-10-05,360.839996,366.850006,359.899994,366.100006,344.403473,1892300
2020-10-06,366.109985,372.000000,362.019989,363.980011,342.409149,1667200
2020-10-07,368.350006,369.859985,366.059998,366.739990,345.005554,1274700
2020-10-08,369.890015,374.290009,368.309998,373.329987,351.205048,1704500
2020-10-09,375.929993,380.000000,374.000000,376.700012,354.375275,1725300
2020-10-12,381.790009,385.100006,379.790009,382.429993,359.765717,1883900
2020-10-13,384.410004,387.799988,378.609985,381.489990,358.881439,1673100
2020-10-14,383.540009,383.739990,377.850006,380.299988,357.761963,1729800
2020-10-15,375.049988,380.489990,375.019989,379.929993,357.413879,1436100
2020-10-16,383.279999,383.279999,378.149994,378.649994,356.209747,1029500
2020-10-19,381.239990,383.609985,375.149994,375.769989,353.500397,1480300
2020-10-20,377.010010,381.140015,375.559998,376.989990,354.648102,1329700
2020-10-21,375.769989,376.859985,370.309998,372.049988,350.000854,1189600
2020-10-22,371.079987,374.309998,367.109985,373.369995,351.242615,1354700
2020-10-23,373.260010,373.940002,370.760010,372.720001,350.631165,886800
2020-10-26,369.600006,369.959991,357.609985,363.040009,341.524811,1550900
2020-10-27,365.179993,365.179993,359.220001,359.600006,338.288727,962000
2020-10-28,354.000000,354.859985,345.529999,347.209991,326.632996,2233100
2020-10-29,347.260010,359.440002,345.369995,355.010010,333.970703,1569700
2020-10-30,349.390015,352.989990,344.420013,349.630005,328.909576,1853000
